p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,1.356015110565632e-06,372.5420925001378,1.6892223211557864
2,2,1.55,uniform,1.3876647909813072e-06,368.694221956576,1.6892223211557864
2,2,1.55,uniform,1.4200531816536819e-06,364.88609486219235,1.6892223211557864
2,2,1.55,uniform,1.4531975242368955e-06,361.1173007193533,1.6892223211557864
2,2,1.55,uniform,1.4871154628089536e-06,357.3874332703266,1.6892223211557864
2,2,1.55,uniform,1.5218250532643868e-06,353.696090453489,1.6892223211557864
2,2,1.55,uniform,1.5573447729261351e-06,350.0428743599855,1.6892223211557864
2,2,1.55,uniform,1.593693530381776e-06,346.4273911908373,1.6892223211557864
2,2,1.55,uniform,1.6308906755493342e-06,342.84925121449174,1.6892223211557864
2,2,1.55,uniform,1.668956009978023e-06,339.3080687248114,1.6892223211557864
2,2,1.55,uniform,1.7079097973894268e-06,335.803461999496,1.6892223211557864
2,2,1.55,uniform,1.7477727744646807e-06,332.33505325893617,1.6892223211557864
2,2,1.55,uniform,1.7885661618834618e-06,328.90246862548935,1.6892223211557864
2,2,1.55,uniform,1.8303116756206132e-06,325.505338083178,1.6892223211557864
2,2,1.55,uniform,1.8730315385064386e-06,322.14329543780383,1.6892223211557864
2,2,1.55,uniform,1.916748492056813e-06,318.81597827747385,1.6892223211557864
2,2,1.55,uniform,1.9614858085794294e-06,315.5230279335331,1.6892223211557864
2,2,1.55,uniform,2.0072673035625683e-06,312.2640894419037,1.6892223211557864
2,2,1.55,uniform,2.0541173483530643e-06,309.0388115048201,1.6892223211557864
2,2,1.55,uniform,2.1020608831301583e-06,305.8468464529615,1.6892223211557864
2,2,1.55,uniform,2.1511234301821673e-06,302.6878502079742,1.6892223211557864
2,2,1.55,uniform,2.2013311074930323e-06,299.5614822453825,1.6892223211557864
2,2,1.55,uniform,2.2527106426459824e-06,296.4674055578809,1.6892223211557864
2,2,1.55,uniform,2.305289387051711e-06,293.4052866190071,1.6892223211557864
2,2,1.55,uniform,2.3590953305086338e-06,290.3747953471891,1.6892223211557864
2,2,1.55,uniform,2.414157116103018e-06,287.3756050701633,1.6892223211557864
2,2,1.55,uniform,2.4705040554568255e-06,284.4073924897626,1.6892223211557864
2,2,1.55,uniform,2.5281661443315005e-06,281.4698376470647,1.6892223211557864
2,2,1.55,uniform,2.587174078595924e-06,278.56262388790304,1.6892223211557864
2,2,1.55,uniform,2.6475592705670637e-06,275.685437828733,1.6892223211557864
2,2,1.55,uniform,2.709353865732049e-06,272.83796932284935,1.6892223211557864
2,2,1.55,uniform,2.7725907598604813e-06,270.0199114269561,1.6892223211557864
2,2,1.55,uniform,2.8373036165162114e-06,267.2309603680779,1.6892223211557864
2,2,1.55,uniform,2.903526884977814e-06,264.47081551081544,1.6892223211557864
2,2,1.55,uniform,2.971295818577334e-06,261.7391793249381,1.6892223211557864
2,2,1.55,uniform,3.0406464934670685e-06,259.0357573533119,1.6892223211557864
2,2,1.55,uniform,3.111615827824363e-06,256.36025818015827,1.6892223211557864
2,2,1.55,uniform,3.1842416015046563e-06,253.712393399641,1.6892223211557864
2,2,1.55,uniform,3.258562476153223e-06,251.09187758477748,1.6892223211557864
2,2,1.55,uniform,3.3346180157863626e-06,248.4984282566704,1.6892223211557864
2,2,1.55,uniform,3.4124487078528892e-06,245.9317658540591,1.6892223211557864
2,2,1.55,uniform,3.492095984787271e-06,243.39161370318334,1.6892223211557864
2,2,1.55,uniform,3.573602246065788e-06,240.87769798795958,1.6892223211557864
2,2,1.55,uniform,3.6570108807774936e-06,238.38974772046458,1.6892223211557864
2,2,1.55,uniform,3.7423662907219773e-06,235.92749471172496,1.6892223211557864
2,2,1.55,uniform,3.829713914046277e-06,233.4906735428063,1.6892223211557864
2,2,1.55,uniform,3.919100249433402e-06,231.07902153620404,1.6892223211557864
