# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
213,1.645860e-01,1.689650e-01,1.262947e-02
214,1.623555e-01,1.671505e-01,1.249387e-02
215,1.604890e-01,1.656595e-01,1.238656e-02
216,1.600107e-01,1.642540e-01,1.224636e-02
217,1.580823e-01,1.630668e-01,1.215040e-02
218,1.577192e-01,1.619532e-01,1.203602e-02
219,1.559106e-01,1.609545e-01,1.190673e-02
220,1.558236e-01,1.601409e-01,1.182456e-02
221,1.542528e-01,1.593038e-01,1.174348e-02
222,1.538152e-01,1.587062e-01,1.166193e-02
223,1.536225e-01,1.580086e-01,1.159293e-02
224,1.520666e-01,1.574179e-01,1.150462e-02
225,1.510990e-01,1.568535e-01,1.143274e-02
226,1.505644e-01,1.564248e-01,1.135529e-02
227,1.504509e-01,1.559320e-01,1.133569e-02
228,1.500543e-01,1.556032e-01,1.129513e-02
229,1.487308e-01,1.553251e-01,1.126786e-02
230,1.486364e-01,1.549467e-01,1.118377e-02
231,1.484239e-01,1.544969e-01,1.117317e-02
232,1.481881e-01,1.541266e-01,1.112115e-02
233,1.489231e-01,1.538750e-01,1.106035e-02
234,1.477763e-01,1.536288e-01,1.102988e-02
235,1.470180e-01,1.533985e-01,1.098617e-02
236,1.477184e-01,1.530903e-01,1.100352e-02
237,1.471908e-01,1.528428e-01,1.094997e-02
238,1.461898e-01,1.527195e-01,1.090948e-02
239,1.466538e-01,1.525382e-01,1.092376e-02
240,1.463911e-01,1.523008e-01,1.089036e-02
241,1.463206e-01,1.520696e-01,1.086959e-02
242,1.454163e-01,1.518900e-01,1.082187e-02
243,1.453953e-01,1.517026e-01,1.082464e-02
244,1.456367e-01,1.514921e-01,1.079925e-02
245,1.448310e-01,1.513992e-01,1.077383e-02
246,1.451615e-01,1.512708e-01,1.075253e-02
247,1.446946e-01,1.511444e-01,1.078306e-02
248,1.447056e-01,1.508544e-01,1.072560e-02
249,1.451250e-01,1.507217e-01,1.072770e-02
250,1.451434e-01,1.506766e-01,1.070254e-02
251,1.441141e-01,1.504576e-01,1.068663e-02
252,1.441099e-01,1.503649e-01,1.067961e-02
253,1.441845e-01,1.502521e-01,1.063683e-02
254,1.436793e-01,1.501326e-01,1.062808e-02
255,1.447379e-01,1.500290e-01,1.060666e-02
256,1.441141e-01,1.498918e-01,1.058676e-02
257,1.428851e-01,1.497429e-01,1.058462e-02
258,1.427889e-01,1.496912e-01,1.061154e-02
259,1.430983e-01,1.495326e-01,1.056856e-02
260,1.434522e-01,1.494719e-01,1.056425e-02
261,1.436791e-01,1.493164e-01,1.053972e-02
262,1.424678e-01,1.493359e-01,1.055628e-02
263,1.423092e-01,1.491589e-01,1.051488e-02
264,1.432291e-01,1.491152e-01,1.053580e-02
265,1.433008e-01,1.489922e-01,1.048937e-02
266,1.422826e-01,1.489807e-01,1.052809e-02
267,1.423076e-01,1.488489e-01,1.046987e-02
268,1.415223e-01,1.488005e-01,1.044703e-02
269,1.416940e-01,1.487020e-01,1.045239e-02
270,1.436016e-01,1.486578e-01,1.045228e-02
